GT_id,GT_label,Pred_label
4557300,Dichomeris santarosensis,geleBioLep01 BioLep440
4597314,Dichomeris santarosensis,Stenoma Janzen4068
3812768,geleBioLep01 BioLep440,cosmoBioLep01 BioLep15
5432989,Telphusa BioLep476,Telphusa BioLep1217
5433047,Telphusa BioLep476,Telphusa sedulitella
4559563,cosmoMalaise01 MalaiseMetz1051,gelMalaise01 Malaise5966
5562582,cosmoMalaise01 MalaiseMetz1051,gelMalaise01 Malaise2486
5227982,Glyphidocera BioLep192,Glyphidocera BioLep4458
5153902,Glyphidocera BioLep192,Antaeotricha Janzen90
5228840,Glyphidocera BioLep192,Glyphidocera sollertiae
3703172,Aristotelia Janzen1129,gelJanzen01 Janzen12
4364286,Palmistichus ixtlilxochitliDHJ02DHJ07,Palmistichus ixtlilxochitliDHJ02DHJ09
4457508,Palmistichus ixtlilxochitliDHJ02DHJ10,Palmistichus ixtlilxochitliDHJ01
4080164,Palmistichus ixtlilxochitliDHJ01,Palmistichus ixtlilxochitliDHJ02DHJ08
5964636,Myzus persicae,Rhopalosiphum rufiabdominale
6278131,Acyrthosiphon pisum,Rhopalosiphum rufiabdominale
4592980,Rivula pusilla,Marimatha Janzen102
4409303,Sitobion avenae,Idiopterus nephrelepidis
5926608,Limnophyes natalensis,Limnophyes ninae
5546410,Halocladius variabilis,Corynoptera breviformis
5827333,Halocladius variabilis,Halocladius varians
5725439,Halocladius variabilis,Metriocnemus albolineatus
5600535,Chaetocladius longivirgatus,Chaetocladius piger
5036308,Dicrotendipes tritomus,Dicrotendipes lobiger
6094533,Cosmopterix Malaise1744,Cosmopterix crassicervicella
4805009,Micropsectra recurvata,Micropsectra klinki
5026877,Limnophyes schnelli,Limnophyes aagaardi
4414070,Paratanytarsus laetipes,Paratanytarsus bituberculatus
5037152,Spilogona sororcula,Spilogona brunneisquama
4759385,Elachista apicipunctella,Elachista alpinella
4191082,Pseudapanteles alvaroumanai,Pseudapanteles raulsolorzanoi
4298525,Pseudapanteles alvaroumanai,Pseudapanteles raulsolorzanoi
4144988,Pseudapanteles alvaroumanai,Diolcogaster Choi77
5725459,Limnophyes difficilis,Metriocnemus albolineatus
5541093,Chaetocladius dissipatus,Chaetocladius piger
4280852,Paratanytarsus dissimilis,Paratanytarsus laccophilus
4500891,Glyptapanteles Whitfield75,Glyptapanteles Malaise2577
5012447,Coenosia mollicula,Coenosia conforma
4427571,Cotesia Whitfield05,Glyptapanteles Malaise2577
5202935,Musca crassirostris,Musca confiscata
