GT_id,GT_label,Pred_label
4855379,Antaeotricha Janzen8319,elachJanzen01 Janzen682
4499670,Idaea BioLep88,elachBioLep01 BioLep700
4961216,Eois Chacon06,Scopula BioLep28
3788006,Eois Chacon06,Vipsophobetron davisi
4584356,Idaea BioLep349,Eublemma exigua
4811389,Idaea BioLep349,elachMalaise7530 Malaise7530
4780530,Parastega niveisignella,geleBioLep01 BioLep440
4050223,Platynota subargentea,Psyllobora vigintimaculata
4144396,Stegasta bosqueella,cosmoBioLep01 BioLep15
5503054,elachBioLep01 BioLep490,gelJanzen01 Janzen828
5426782,blastoBioLep01 BioLep566,Blastobasis babae
5241102,gelBioLep01 BioLep429,geleBioLep01 BioLep1209
5435013,elachBioLep01 BioLep462,Glyphidocera olivae
4318275,Ixylasia schausi,Hypenodes Malaise8575
5969786,Macaria abydataDHJ02,Pero jimenezaria
5641485,Glyptapanteles sondrawardae,Syntretus Malaise2676
5642921,Glyptapanteles sondrawardae,Syntretus Malaise2676
5657186,Glyptapanteles sondrawardae,Syntretus Malaise2676
5665397,Glyptapanteles sondrawardae,Diolcogaster Malaise7359
4354323,Glyptapanteles sondrawardae,Glyptapanteles Malaise2577
5211334,Coenipeta bibitrix,Pero clana
3774426,cosmoBioLep01 BioLep783,Idaea Malaise9610
4361012,geleBioLep01 BioLep772,Ostha BioLep578
4053330,geleBioLep01 BioLep772,malaiseGraci01 Malaise4663
4698174,Pococera sadotha,Oxydia apidania
3932179,Carales astur,gelJanzen01 Janzen1159
4108175,Palmistichus ixtlilxochitliDHJ02DHJ04,Palmistichus ixtlilxochitliDHJ01
4107832,Palmistichus ixtlilxochitliDHJ02DHJ04,Palmistichus ixtlilxochitliDHJ02DHJ06
4095448,Palmistichus ixtlilxochitliDHJ02DHJ05,Palmistichus ixtlilxochitliDHJ02DHJ03
3905271,Palmistichus ixtlilxochitliDHJ02DHJ05,Palmistichus ixtlilxochitliDHJ02DHJ03
4106777,Palmistichus ixtlilxochitliDHJ02DHJ05,Palmistichus ixtlilxochitliDHJ02DHJ09
4914835,Palmistichus ixtlilxochitliDHJ02DHJ08,Palmistichus ixtlilxochitliDHJ01
4116777,Palmistichus ixtlilxochitliDHJ02DHJ08,Palmistichus ixtlilxochitliDHJ01
4127106,Palmistichus ixtlilxochitliDHJ02DHJ08,Palmistichus ixtlilxochitliDHJ02DHJ09
6149850,Glyptapanteles ninazitaniae,mgMalaise160 Malaise5779
4784642,Carpatolechia proximella,Blastobasis phaedra
4731030,Copidosoma floridanum,encyrMalaise01 Malaise7713
4770461,Caloptilia stigmatella,Plutella xylostella
3738170,Chamyna Poole01,Oxydia apidania
4140545,Simulium tarsatum,Simulium jobbinsi
4662719,Simulium tarsatum,Lutzomyia ovallesi
4469731,Simulium tarsatum,Agromyza vicifoliae
6062165,Tinagma dryadis,Parornix scoticella
6043706,Leptopterna dolabrata,Coleomegilla maculata
6049796,Coleophora quadrilineella,Coleophora argentialbella
4783285,Orthosia gothica,Hypenodes Malaise8575
5542318,Orthosia gothica,Melese Espinoza01
4759686,Orthosia gothica,Hypenodes Malaise8575
5547117,Orthosia gothica,Melese Espinoza01
4783052,Orthosia gothica,Hypenodes Malaise8575
4783086,Orthosia gothica,Hypenodes Malaise8575
3961056,Apanteles bernyapui,Glyptapanteles Whitfield159DHJ02
3712105,Xyleborinus saxesenii,Xylosandrus morigerus
5120821,Xyleborinus saxesenii,Xylosandrus morigerus
5020626,Ectoedemia populella,Phyllonorycter medicaginella
3804965,Odontomachus meinerti,Aridelus Malaise1768
4784682,Gracillaria syringella,Elachista pyrrha
6094948,Coelostathma discopunctana,Tsinilla lineana
3701758,Rhygoplitis Whitfield01,Alphomelon arecaphileDHJ01
5063873,Rhygoplitis Whitfield01,Apanteles Malaise5397
5052017,Elachista alpinella,Bryotropha similis
5051787,Elachista alpinella,Coleophora quadrilineella
5056374,Elachista alpinella,Anacampsis Malaise3063
6064797,Coenosia campestris,Coenosia morrisoni
6064664,Coenosia campestris,Coenosia conforma
4779513,Coleophora maritella,Parornix scoticella
3913304,Camponotus integellus,Camponotus excisus
3968341,Camponotus integellus,Camponotus excisus
3947142,Camponotus integellus,Camponotus excisus
3730782,Camponotus integellus,Camponotus excisus
3901670,Camponotus integellus,Camponotus excisus
3744713,Camponotus integellus,Camponotus excisus
3877877,Camponotus integellus,Camponotus excisus
3828227,Camponotus integellus,Camponotus excisus
3887988,Camponotus integellus,Camponotus linnaei
5477548,Orosius albicinctus,Chiasmus niger
4016716,Paratanytarsus setosimanus,Micropsectra junci
5026834,Micropsectra polita,Micropsectra atrofasciata
5022399,Micropsectra polita,Cladotanytarsus mancus
